area_id,source,calendar_quarter,sex,age_group,population,area_name,asfr,county
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y045_049,23941,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y050_054,16028,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y055_059,10275,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y060_064,6534,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y065_069,3658,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y070_074,2362,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y075_079,1426,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2015Q2,male,Y080_999,1305,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y000_004,76005,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y005_009,60569,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y010_014,51595,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y015_019,56174,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y020_024,73598,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y025_029,77087,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y030_034,56953,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y035_039,38793,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y040_044,25255,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y045_049,15807,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y050_054,9617,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y055_059,7527,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y060_064,5282,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y065_069,3633,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y070_074,2531,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y075_079,1540,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,female,Y080_999,1881,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y000_004,76623,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y005_009,59150,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y010_014,49364,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y015_019,49105,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y020_024,71789,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y025_029,75004,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y030_034,62266,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y035_039,50937,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y040_044,37887,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y045_049,24880,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y050_054,16395,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y055_059,10468,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y060_064,6678,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y065_069,3766,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y070_074,2397,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y075_079,1436,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2016Q2,male,Y080_999,1271,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y000_004,76699,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y005_009,61791,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y010_014,52832,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y015_019,57514,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y020_024,74317,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y025_029,77172,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y030_034,58863,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y035_039,41012,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y040_044,26413,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y045_049,16701,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y050_054,9964,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y055_059,7691,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y060_064,5448,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y065_069,3778,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y070_074,2610,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y075_079,1582,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,female,Y080_999,1865,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y000_004,76369,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y005_009,59633,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y010_014,49816,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y015_019,49695,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y020_024,72238,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y025_029,75601,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y030_034,63018,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y035_039,51388,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y040_044,38660,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y045_049,25856,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y050_054,16770,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y055_059,10664,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y060_064,6826,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y065_069,3876,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y070_074,2433,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y075_079,1446,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2017Q2,male,Y080_999,1238,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2018Q2,female,Y000_004,77400,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2018Q2,female,Y005_009,63037,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2018Q2,female,Y010_014,54100,Mombasa,,Mombasa
KEN_2_01,KNBS Census 2019,CY2018Q2,female,Y015_019,58886,Mombasa,,Mombasa
