year,indicator_id,indicator_name,value,unit,source,source_variable,lower,upper,notes
2023,notification_incidence_gap,Estimated incidence-to-notification gap,24347.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
2024,notification_incidence_gap,Estimated incidence-to-notification gap,22167.0,people,Derived from WHO burden estimates and notifications,notification_incidence_gap,,,Estimated incidence minus notifications. This is not a direct count of undiagnosed people.
1980,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1981,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1982,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1983,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1984,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1985,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1986,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1987,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1988,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1989,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1990,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1991,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1992,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1993,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1994,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1995,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1996,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1997,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1998,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
1999,notification_to_incidence_ratio,Notification-to-incidence ratio,,percent,Derived from WHO burden estimates and notifications,notification_to_incidence_ratio,,,Notifications / estimated incidence * 100. Do not interpret automatically as a measured case-detection rate.
